Tipo: MAIN, Valor: main, Linea: 1
Tipo: LBRACE, Valor: {, Linea: 1
Tipo: INTEGER, Valor: integer, Linea: 2
Tipo: ID, Valor: x, Linea: 2
Tipo: COMMA, Valor: ,, Linea: 2
Tipo: ID, Valor: y, Linea: 2
Tipo: COMMA, Valor: ,, Linea: 2
Tipo: ID, Valor: z, Linea: 2
Tipo: SEMICOLON, Valor: ;, Linea: 2
Tipo: DOUBLE, Valor: double, Linea: 3
Tipo: ID, Valor: a, Linea: 3
Tipo: COMMA, Valor: ,, Linea: 3
Tipo: ID, Valor: b, Linea: 3
Tipo: COMMA, Valor: ,, Linea: 3
Tipo: ID, Valor: c, Linea: 3
Tipo: SEMICOLON, Valor: ;, Linea: 3
Tipo: CHAR, Valor: char, Linea: 4
Tipo: ID, Valor: b, Linea: 4
Tipo: SEMICOLON, Valor: ;, Linea: 4
Tipo: FLOAT, Valor: float, Linea: 5
Tipo: ID, Valor: e, Linea: 5
Tipo: SEMICOLON, Valor: ;, Linea: 5
Tipo: BOOLEAN, Valor: boolean, Linea: 6
Tipo: ID, Valor: f, Linea: 6
Tipo: SEMICOLON, Valor: ;, Linea: 6
Tipo: STRING, Valor: string, Linea: 7
Tipo: ID, Valor: g, Linea: 7
Tipo: SEMICOLON, Valor: ;, Linea: 7
Tipo: ID, Valor: suma, Linea: 8
Tipo: EQUAL, Valor: =, Linea: 8
Tipo: NUMBER, Valor: 45, Linea: 8
Tipo: SEMICOLON, Valor: ;, Linea: 8
Tipo: ID, Valor: x, Linea: 9
Tipo: EQUAL, Valor: =, Linea: 9
Tipo: NUMBER, Valor: 32.32, Linea: 9
Tipo: SEMICOLON, Valor: ;, Linea: 9
Tipo: ID, Valor: x, Linea: 10
Tipo: EQUAL, Valor: =, Linea: 10
Tipo: NUMBER, Valor: 23, Linea: 10
Tipo: SEMICOLON, Valor: ;, Linea: 10
Tipo: ID, Valor: y, Linea: 11
Tipo: EQUAL, Valor: =, Linea: 11
Tipo: NUMBER, Valor: 2, Linea: 11
Tipo: PLUS, Valor: +, Linea: 11
Tipo: NUMBER, Valor: 3, Linea: 11
Tipo: MINUS, Valor: -, Linea: 11
Tipo: NUMBER, Valor: 1, Linea: 11
Tipo: SEMICOLON, Valor: ;, Linea: 11
Tipo: ID, Valor: z, Linea: 12
Tipo: EQUAL, Valor: =, Linea: 12
Tipo: ID, Valor: y, Linea: 12
Tipo: PLUS, Valor: +, Linea: 12
Tipo: NUMBER, Valor: 7, Linea: 12
Tipo: SEMICOLON, Valor: ;, Linea: 12
Tipo: ID, Valor: y, Linea: 13
Tipo: EQUAL, Valor: =, Linea: 13
Tipo: ID, Valor: y, Linea: 13
Tipo: PLUS, Valor: +, Linea: 13
Tipo: NUMBER, Valor: 1, Linea: 13
Tipo: SEMICOLON, Valor: ;, Linea: 13
Tipo: ID, Valor: a, Linea: 14
Tipo: EQUAL, Valor: =, Linea: 14
Tipo: NUMBER, Valor: 24.0, Linea: 14
Tipo: PLUS, Valor: +, Linea: 14
Tipo: NUMBER, Valor: 4, Linea: 14
Tipo: MINUS, Valor: -, Linea: 14
Tipo: NUMBER, Valor: 1, Linea: 14
Tipo: DIVIDE, Valor: /, Linea: 14
Tipo: NUMBER, Valor: 3, Linea: 14
Tipo: TIMES, Valor: *, Linea: 14
Tipo: NUMBER, Valor: 2, Linea: 14
